event_id,title,subtitle,year,dates,prize,location,status
1014,Valorant Champions Tour Stage 2: Masters Copenhagen,"Part of the Valorant Champions Tour, Riot's official 2022 tournament circuit",2022,"Jul 10–24, 2022","$650,000","Copenhagen, Denmark",completed
1015,Valorant Champions 2022,"The final event of the Valorant Champions Tour, Riot's 2022 tournament circuit",2022,"Aug 31 – Sep 19, 2022","$1,000,000","İstanbul, Türkiye",completed
1188,Champions Tour 2023: LOCK//IN São Paulo,"The opening event of the Valorant Champions Tour, Riot's official 2023 tournament circuit",2023,"Feb 13 – Mar 6, 2023","$500,000","São Paulo, Brazil",completed
1494,Champions Tour 2023: Masters Tokyo,"Part of the Valorant Champions Tour, Riot's official 2023 tournament circuit",2023,"Jun 11–25, 2023","$1,000,000","Tokyo, Japan",completed
1657,Valorant Champions 2023,"The final event of the Valorant Champions Tour, Riot's 2023 tournament circuit",2023,"Aug 7–27, 2023","$2,250,000","Los Angeles, USA",completed
1921,Champions Tour 2024: Masters Madrid,"Part of the Valorant Champions Tour, Riot's official 2024 tournament circuit",2024,"Mar 14–24, 2024","$500,000","Madrid Arena, Madrid",completed
1999,Champions Tour 2024: Masters Shanghai,"Part of the Valorant Champions Tour, Riot's official 2024 tournament circuit",2024,"May 23 – Jun 10, 2024","$1,000,000",VCT CN Arena & Mercedes-Benz Arena,completed
2097,Valorant Champions 2024,"The final event of the Valorant Champions Tour, Riot's 2024 tournament circuit",2024,"Aug 1–25, 2024","$2,250,000","INSPIRE Arena, Incheon",completed
2281,Valorant Masters Bangkok 2025,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.",2025,"Feb 20 – Mar 3, 2025","$500,000","UOB Live, Bangkok",completed
2282,Valorant Masters Toronto 2025,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.",2025,"Jun 8–22, 2025","$1,000,000","Enercare Arena, Toronto",completed
2283,Valorant Champions 2025,"The final event of the Valorant Champions Tour, Riot's 2025 tournament circuit",2025,"Sep 12 – Oct 6, 2025","$2,250,000","Accor Arena, Paris",completed
2760,Valorant Masters Santiago 2026,"Part of the Valorant Champions Tour, Riot's official 2026 tournament circuit.",2026,"Mar 1–16, 2026","$1,000,000","Espacio Riesco, Santiago",completed
2765,Valorant Masters London 2026,"Part of the Valorant Champions Tour, Riot's official 2026 tournament circuit.",2026,"Jun 6–21, 2026","$1,000,000","Copper Box Arena, London",completed
2766,Valorant Champions 2026,"The final event of the Valorant Champions Tour, Riot's 2026 tournament circuit",2026,"Sep 24 – Oct 18, 2026","$2,250,000",Shanghai,unknown
353,Valorant Champions Tour Stage 2: Masters Reykjavík,"Part of the Valorant Champions Tour, Riot's official 2021 tournament circuit",2021,"May 24–31, 2021","$600,000","Reykjavik, Iceland",completed
449,Valorant Champions 2021,"The final event of the Valorant Champions Tour, Riot's 2021 tournament circuit",2021,"Dec 1–12, 2021","$1,000,000","Berlin, Germany",completed
466,Valorant Champions Tour Stage 3: Masters Berlin,"Part of the Valorant Champions Tour, Riot's official 2021 tournament circuit",2021,"Sep 10–20, 2021","$700,000","Berlin, Germany",completed
926,Valorant Champions Tour Stage 1: Masters Reykjavík,"Part of the Valorant Champions Tour, Riot's official 2022 tournament circuit",2022,"Apr 10–24, 2022","$650,000","Reykjavík, Iceland",completed
